Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
biz.ganttproject.core.chart.scene.SceneBuilder,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.chart.scene.TimelineSceneBuilder,17,2,1,0,29,14
biz.ganttproject.core.chart.scene.TimelineSceneBuilder.InputApi,n/a,n/a,n/a,n/a,9,n/a
biz.ganttproject.core.chart.scene.gantt.ChartBoundsAlgorithm,4,1,1,0,6,4
biz.ganttproject.core.chart.scene.gantt.ChartBoundsAlgorithm.Result,2,1,0,0,1,1
biz.ganttproject.core.chart.scene.gantt.Connector,4,1,3,0,4,4
biz.ganttproject.core.chart.scene.gantt.Connector.Vector,4,1,2,0,15,8
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder,12,1,1,0,41,24
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder.ChartApi,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder.TaskApi,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,15,1,1,0,49,24
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.ChartApi,n/a,n/a,n/a,n/a,7,n/a
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.Style,2,1,0,0,1,1
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.StyleApplier,6,1,1,0,12,8
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.TaskApi,n/a,n/a,n/a,n/a,10,n/a
biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder,14,1,1,0,43,30
biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder.InputApi,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder.TaskApi,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.chart.text.CachingTextFormatter,11,1,2,5,14,7
biz.ganttproject.core.chart.text.DayTextFormatter,7,2,2,0,7,3
biz.ganttproject.core.chart.text.MonthTextFormatter,5,2,1,0,8,4
biz.ganttproject.core.chart.text.QuarterTextFormatter,5,2,1,0,6,2
biz.ganttproject.core.chart.text.TimeFormatter,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.chart.text.TimeFormatters,14,1,1,0,16,10
biz.ganttproject.core.chart.text.TimeFormatters.LocaleApi,n/a,n/a,n/a,n/a,4,n/a
biz.ganttproject.core.chart.text.TimeUnitText,13,1,1,0,10,9
biz.ganttproject.core.chart.text.TimeUnitText.Position,6,n/a,2,n/a,2,0
biz.ganttproject.core.chart.text.WeekTextFormatter,6,2,2,0,19,6
biz.ganttproject.core.chart.text.YearTextFormatter,5,2,1,0,7,2
biz.ganttproject.core.model.task.TaskDefaultColumn,19,n/a,6,n/a,22,17
biz.ganttproject.core.model.task.TaskDefaultColumn.Functions,1,1,0,0,0,2
biz.ganttproject.core.model.task.TaskDefaultColumn.LocaleApi,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.BooleanOption,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.option.ChangeValueEvent,26,1,4,0,6,6
biz.ganttproject.core.option.ChangeValueListener,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.ColorOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.ColorOption.Util,6,1,2,0,14,6
biz.ganttproject.core.option.DateOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.DefaultBooleanOption,23,2,2,4,15,8
biz.ganttproject.core.option.DefaultColorOption,10,2,2,5,10,6
biz.ganttproject.core.option.DefaultDateOption,8,2,2,6,11,5
biz.ganttproject.core.option.DefaultDoubleOption,4,2,2,2,9,5
biz.ganttproject.core.option.DefaultEnumerationOption,30,2,3,14,30,14
biz.ganttproject.core.option.DefaultFileOption,3,3,0,0,2,1
biz.ganttproject.core.option.DefaultFontOption,6,2,4,2,18,8
biz.ganttproject.core.option.DefaultIntegerOption,6,2,2,1,9,4
biz.ganttproject.core.option.DefaultMoneyOption,3,2,2,0,10,4
biz.ganttproject.core.option.DefaultStringOption,17,2,2,6,8,4
biz.ganttproject.core.option.DoubleOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.EnumerationOption,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.FileOption,n/a,n/a,n/a,n/a,0,n/a
